query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits
ARR-6	WP_001749986.1	0.859	150	21	0	1	150	1	150	2.082e-84	269
ARR-6	WP_000237816.1	0.856	150	21	0	1	150	1	150	5.368e-84	268
ARR-6	WP_033959319.1	0.836	150	24	0	1	150	1	150	1.5759999999999999e-81	261
VanA	WP_063856521.1	0.906	343	32	0	1	343	1	343	9.246999999999999e-213	651
VanA	WP_063856536.1	0.893	343	37	0	1	343	1	343	4.5780000000000007e-209	640
VanA	WP_063856531.1	0.892	343	37	0	1	343	1	343	8.597000000000001e-209	639
VanC2	WP_029487031.1	0.687	348	106	0	1	348	1	341	3.987e-153	479
VanC2	WP_063856694.1	0.552	347	153	0	1	347	1	342	6.2379999999999996e-114	366
VanC2	WP_063856695.1	0.452	346	189	0	2	347	4	349	3.46e-85	282
VanC2XY	WP_029487031.1	0.685	348	107	0	1	348	1	341	1.923e-152	477
VanC2XY	WP_063856694.1	0.557	347	151	0	1	347	1	342	1.438e-115	370
VanC2XY	WP_063856695.1	0.455	346	188	0	2	347	4	349	3.865e-86	285
VanC3XY	WP_029487031.1	0.687	348	106	0	1	348	1	341	5.461e-153	479
VanC3XY	WP_063856711.1	0.554	348	153	0	1	348	4	346	6.919e-115	368
VanC3XY	WP_063856694.1	0.553	347	152	0	1	347	1	342	1.776e-114	367
VanC4XY	WP_029487031.1	0.685	348	107	0	1	348	1	341	1.404e-152	477
VanC4XY	WP_063856694.1	0.555	347	152	0	1	347	1	342	6.919e-115	368
VanC4XY	WP_063856695.1	0.45	346	190	0	2	347	4	349	1.211e-84	281
VanE	WP_063856694.1	0.93	179	12	0	1	179	131	309	3.509e-112	351
VanE	WP_063856713.1	0.629	179	66	0	1	179	131	309	8.58e-68	223
VanE	WP_063856711.1	0.597	179	72	0	1	179	134	312	3.882e-63	210
VanG2XY	WP_063856695.1	0.862	349	48	0	1	349	1	349	9.564e-204	625
VanG2XY	WP_063856711.1	0.481	346	176	0	4	349	5	345	1.2179999999999998e-93	307
VanG2XY	WP_063856713.1	0.47	343	179	0	4	346	2	339	1.477e-89	295
aac(3)-I	WP_063840256.1	0.918	154	13	0	1	154	1	154	3.3919999999999995e-94	298
aac(3)-I	WP_002089484.1	0.915	154	13	0	1	154	1	154	8.743999999999999e-94	297
aac(3)-I	WP_063856942.1	0.764	154	36	0	1	154	1	154	9.926e-75	242
aac(3)-IIIb	WP_058179966.1	0.928	245	18	0	1	245	28	272	6.2250000000000005e-155	478
aac(3)-IIIb	WP_063840263.1	0.89	244	27	0	1	244	35	278	1.401e-146	454
aac(3)-IIIb	WP_063840261.1	0.478	241	123	0	1	241	29	265	5.116000000000001e-63	213
aac(3)-IIe	WP_002063884.1	0.964	286	10	0	1	286	1	286	3.067e-190	582
aac(3)-IIe	WP_000557454.1	0.941	286	17	0	1	286	1	286	9.176e-185	567
aac(3)-IIe	WP_063840264.1	0.929	286	20	0	1	286	1	286	5.017e-182	559
aac(3)-IVa	WP_001199192.1	0.984	222	4	0	1	222	25	246	9.356e-150	463
aac(3)-IVa	WP_149317372.1	0.783	222	48	0	1	222	30	251	4.601e-113	357
aac(3)-IVa	WP_012377682.1	0.289	159	98	0	1	139	34	192	2.053e-14	70
aac(6')-Ib	WP_071593228.1	0.979	189	4	0	10	198	228	416	5.617e-126	392
aac(6')-Ib	WP_063839878.1	0.978	190	4	0	9	198	271	460	1.16e-126	394
aac(6')-Ib	WP_063838853.1	0.966	192	6	0	10	201	137	328	4.097e-126	392
aac(6')-Ib-Hangzhou	WP_071593228.1	0.986	172	2	0	1	172	248	419	1.771e-115	360
aac(6')-Ib-Hangzhou	WP_063839875.1	0.986	172	2	0	1	172	292	463	1.771e-115	360
aac(6')-Ib-Hangzhou	WP_063839878.1	0.986	172	2	0	1	172	292	463	1.771e-115	360
aac(6')-Ib-Suzhou	WP_032488579.1	0.988	172	2	0	1	172	13	184	9.421e-116	361
aac(6')-Ib-Suzhou	WP_063839875.1	0.982	172	3	0	1	172	292	463	6.2570000000000005e-115	359
aac(6')-Ib-Suzhou	WP_063839878.1	0.982	172	3	0	1	172	292	463	6.2570000000000005e-115	359
aac(6')-Ib-cr	WP_071593228.1	0.954	192	9	0	8	199	228	419	3.085e-124	387
aac(6')-Ib-cr	WP_063839878.1	0.949	196	10	0	4	199	268	463	2.719e-126	393
aac(6')-Ib-cr	WP_063839875.1	0.944	196	11	0	4	199	268	463	1.804e-125	391
aac(6')-Ib3	WP_032488579.1	0.988	175	2	0	1	175	10	184	6.979999999999999e-118	367
aac(6')-Ib3	WP_063839875.1	0.983	175	3	0	1	175	289	463	4.635e-117	365
aac(6')-Ib3	WP_063839878.1	0.983	175	3	0	1	175	289	463	4.635e-117	365
aac(6')Ib-cr	WP_032488579.1	0.988	172	2	0	1	172	13	184	9.421e-116	361
aac(6')Ib-cr	WP_063839875.1	0.982	172	3	0	1	172	292	463	6.2570000000000005e-115	359
aac(6')Ib-cr	WP_063839878.1	0.982	172	3	0	1	172	292	463	6.2570000000000005e-115	359
aadA10	WP_022675713.1	0.95	268	13	0	1	268	1	268	1.113e-174	537
aadA10	WP_063839878.1	0.94	272	16	0	1	272	1	272	4.323e-175	538
aadA10	WP_063839875.1	0.862	272	37	0	1	272	1	272	1.435e-157	488
aadA1b	WP_001910823.1	0.943	263	15	0	1	263	1	263	4.894e-170	523
aadA1b	WP_071593208.1	0.935	263	17	0	1	263	1	263	4.0410000000000003e-168	517
aadA1b	WP_011113049.1	0.926	263	19	0	1	263	1	263	2.4340000000000002e-166	512
aadA23	WP_032491824.1	0.956	240	11	0	1	240	24	263	3.168e-157	484
aadA23	WP_011113049.1	0.953	240	11	0	1	240	24	263	1.118e-156	483
aadA23	WP_063840435.1	0.953	240	11	0	1	240	24	263	1.118e-156	483
aadA24	WP_032491824.1	0.902	249	24	0	3	251	15	263	3.295e-152	471
aadA24	WP_011113049.1	0.9	249	25	0	3	251	15	263	1.1629999999999999e-151	469
aadA24	WP_063840435.1	0.9	249	25	0	3	251	15	263	1.1629999999999999e-151	469
aadA2b	WP_032490336.1	0.958	240	10	0	1	240	24	263	1.686e-157	485
aadA2b	WP_063840441.1	0.945	240	13	0	1	240	24	263	4.919e-155	478
aadA2b	WP_063840416.1	0.924	240	18	0	1	240	24	263	6.308999999999999e-151	466
aadA8b	WP_063840457.1	0.939	263	16	0	1	263	1	263	4.4469999999999997e-169	520
aadA8b	WP_063840441.1	0.929	263	19	0	1	263	1	263	6.897e-167	514
aadA8b	WP_032490336.1	0.918	263	21	0	1	263	1	263	2.009e-164	507
aph(2'')-Ia	WP_032490744.1	0.98	478	10	0	1	478	1	478	0.0	990
